date,series_id,metric,index_value,source_agency,yield_pct,yield_bp,delta_bp_1m,delta_bp_12m,ip_reval_pre_tax_hkdm,ip_reval_calibrated_hkdm,eps_impact_hkd
2011-07-01,overall,rental_yield,3.4836702,Centaline Property Agency,3.4836702,348.36702,7.666080000000022,-33.24673999999993,-1879.9649027368475,-789.585259149476,-0.10419072387709565
2011-08-01,overall,rental_yield,3.5190039,Centaline Property Agency,3.5190039,351.90039,3.533369999999991,-28.086439999999982,-866.493904105261,-363.9274397242096,-0.04802250668211282
2011-09-01,overall,rental_yield,3.5180383,Centaline Property Agency,3.5180383,351.80383,-0.09656000000001086,-28.53143,23.679561263160558,9.945415730527435,0.00131235994113986
2011-10-01,overall,rental_yield,3.5923758,Centaline Property Agency,3.5923758,359.23758000000004,7.433750000000032,-21.204279999999983,-1822.9902500000078,-765.6559050000033,-0.10103309561358097
2011-11-01,overall,rental_yield,3.582583,Centaline Property Agency,3.582583,358.2583,-0.979280000000017,-18.49664999999999,240.15038063158315,100.86315986526492,0.013309526130481773
2011-12-01,overall,rental_yield,3.5388784,Centaline Property Agency,3.5388784,353.88784000000004,-4.37045999999998,-20.827079999999967,1071.774806526311,450.1454187410506,0.05939950940714003
2012-01-01,overall,rental_yield,3.5242343,Centaline Property Agency,3.5242343,352.42343,-1.4644100000000435,-11.69947000000002,359.11957652632645,150.8302221410571,0.019902993179416562
2012-02-01,overall,rental_yield,3.4380155,Centaline Property Agency,3.4380155,343.80155,-8.621879999999976,-9.182899999999961,2114.357245894731,888.030043275787,0.11718113017101937
2012-03-01,overall,rental_yield,3.3440795,Centaline Property Agency,3.3440795,334.40794999999997,-9.393600000000049,-13.940520000000049,2303.607360000012,967.5150912000049,0.12766968043796673
2012-04-01,overall,rental_yield,3.3033986,Centaline Property Agency,3.3033986,330.33986,-4.068089999999984,-14.50601000000006,997.6241339999962,419.00213627999835,0.05528995808772817
2012-05-01,overall,rental_yield,3.3466642,Centaline Property Agency,3.3466642,334.66642,4.326560000000029,-5.97357999999997,-1061.0091402105336,-445.6238388884241,-0.0588028586054005
2012-06-01,overall,rental_yield,3.3616166,Centaline Property Agency,3.3616166,336.16166,1.495239999999967,-4.539280000000019,-366.6800661052551,-154.00562776420713,-0.02032200785407726
2012-07-01,overall,rental_yield,3.4012663,Centaline Property Agency,3.4012663,340.12663000000003,3.9649700000000507,-8.24038999999999,-972.3358535789598,-408.3810585031631,-0.05388844030468923
2012-08-01,overall,rental_yield,3.426752,Centaline Property Agency,3.426752,342.6752,2.548569999999984,-9.225189999999998,-624.9898451578907,-262.4957349663141,-0.034637957489544485
2012-09-01,overall,rental_yield,3.4047098,Centaline Property Agency,3.4047098,340.47098,-2.2042200000000207,-11.332850000000008,540.5443509473736,227.02862739789688,0.029957850346509985
2012-10-01,overall,rental_yield,3.3360586,Centaline Property Agency,3.3360586,333.60586,-6.86511999999999,-25.63172000000003,1683.5442172631556,707.0885712505253,0.09330476883924037
2012-11-01,overall,rental_yield,3.3589635,Centaline Property Agency,3.3589635,335.89635000000004,2.290490000000034,-22.36194999999998,-561.7004792631662,-235.9142012905298,-0.031130357514303486
2012-12-01,overall,rental_yield,3.347599,Centaline Property Agency,3.347599,334.7599,-1.1364500000000248,-19.127940000000024,278.69342789474297,117.05123971579204,0.01544564472978727
2013-01-01,overall,rental_yield,3.2593658,Centaline Property Agency,3.2593658,325.93658,-8.823320000000024,-26.486850000000004,2163.7566951579006,908.7778119663183,0.11991892829180695
2013-02-01,overall,rental_yield,3.1710792,Centaline Property Agency,3.1710792,317.10792,-8.828660000000013,-26.69363000000004,2165.0662317894767,909.3278173515802,0.119991504949695
2013-03-01,overall,rental_yield,3.137615,Centaline Property Agency,3.137615,313.76149999999996,-3.3464200000000233,-20.646450000000016,820.6478604210583,344.67210137684447,0.04548164409930392
2013-04-01,overall,rental_yield,3.2805748,Centaline Property Agency,3.2805748,328.05748,14.295980000000043,-2.282379999999989,-3505.825748000011,-1472.4468141600046,-0.19429858607430162
2013-05-01,overall,rental_yield,3.245381,Centaline Property Agency,3.245381,324.5381,-3.5193800000000124,-10.12832000000003,863.0631143157926,362.4865080126329,0.04783236671135353
2013-06-01,overall,rental_yield,3.192316,Centaline Property Agency,3.192316,319.2316,-5.306499999999971,-16.93005999999997,1301.3213736842035,546.5549769473655,0.07212135488460901
2013-07-01,overall,rental_yield,3.1918614,Centaline Property Agency,3.1918614,319.18614,-0.045459999999991396,-20.94049000000001,11.14822757894526,4.682255583157009,0.0006178529714602325
2013-08-01,overall,rental_yield,3.2499137,Centaline Property Agency,3.2499137,324.99137,5.805229999999995,-17.68383,-1423.6257190526303,-597.9228020021047,-0.0788996613618733
2013-09-01,overall,rental_yield,3.2626193,Centaline Property Agency,3.2626193,326.26193,1.270559999999989,-14.20904999999999,-311.5814349473657,-130.8642026778936,-0.01726835176899812
2013-10-01,overall,rental_yield,3.2861016,Centaline Property Agency,3.2861016,328.61016,2.348230000000001,-4.995699999999999,-575.8601506315792,-241.86126326526326,-0.03191510961663741
2013-11-01,overall,rental_yield,3.2375326,Centaline Property Agency,3.2375326,323.75326,-4.856899999999996,-12.14309000000003,1191.0652557894728,500.24740743157855,0.06601078084218583
2013-12-01,overall,rental_yield,3.2578661,Centaline Property Agency,3.2578661,325.78661,2.0333499999999844,-8.97329000000002,-498.64163105262776,-209.42948504210366,-0.02763553320543096
2014-01-01,overall,rental_yield,3.2569003,Centaline Property Agency,3.2569003,325.69003,-0.09658000000001721,-0.24655000000001337,23.684465894741063,9.947475675791246,0.0013126317638286662
2014-02-01,overall,rental_yield,3.2629735,Centaline Property Agency,3.2629735,326.29735,0.6073200000000156,9.189430000000016,-148.93404252631962,-62.552297861054235,-0.008254167765668917
2014-03-01,overall,rental_yield,3.2740726,Centaline Property Agency,3.2740726,327.40726,1.1099100000000135,13.645760000000053,-272.18498178947704,-114.31769235158035,-0.0150849360218558
2014-04-01,overall,rental_yield,3.264171,Centaline Property Agency,3.264171,326.4171,-0.990160000000003,-1.6403799999999933,242.81850021052708,101.98377008842137,0.01345739767314521
2014-05-01,overall,rental_yield,3.245871,Centaline Property Agency,3.245871,324.5871,-1.829999999999984,0.049000000000035016,448.7737894736803,188.48499157894574,0.024871776017871303
